Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active
elig_mits_consent,consent_tracking,CHAMPS <u>Specimen Collection</u> Consent,radio,Was consent <u>granted</u>  for specimen collection?,"CH00001, Yes | CH00002, No (Refused)",,,,,,[elig_mits_request] = 'CH00001',y,RH,,,,[consent_granted] ; Version 0.0.0,1
elig_mits_refuse,consent_tracking,CHAMPS <u>Specimen Collection</u> Consent,checkbox,"Primary reason(s) for for Specimen Collection Consent Refusal <p><i>CHAMPS staff should follow script to inquire about reasons for consent refusal. Staff <u>should not read </u>the list. Rather, they should categorize the family/guardian's response into the categories noted</i>.</li>","CH00053, Religious considerations | CH00054, Timing concerns | CH00055, Distrust | CH00056, Family disinterest | CH00057, Body not available | CH00058, Consent authorization issues | CH00059, CHAMPS procedures prohibitive | CH00060, Refusal without reason | CH00061, Other",check all that apply,,,,,[elig_mits_consent]='CH00002',y,,,,,[consent_refusal] ; Version 0.0.0,1
elig_mits_refother,consent_tracking,CHAMPS <u>Specimen Collection</u> Consent,notes,Indicate other reason for consent refusal,,,,,,,[elig_mits_refuse(CH00061)] = '1',y,,,,,[consent_ref_no] ; Version 0.0.0,1
elig_mits_refreason,consent_tracking,CHAMPS <u>Specimen Collection</u> Consent,notes,"If applicable, provide information or context that helps explain the primary reason for refusal:",,,,,,,[elig_mits_consent] = 'CH00002',y,,,,,[consent_reason] ; Version 0.0.0,1
champs_id,consent_tracking,CHAMPS ID Issued to the Deceased Case,text,CHAMPS ID (for specimen collection),,CHAMPS ID assigned to the full MITS or lung only case,,,,,[elig_mits_consent] = 'CH00001',y,,,,,[champs_id] ; Version 0.0.0,1
hiv_prior,consent_tracking,HIV Status,radio,Was the case known to be HIV+ prior to death?,"CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,[esf_bodyavail] = 'CH00002' and [elig_legal]='CH00002',,,,,,,1
adu_hiv,consent_tracking,HIV Status,radio,HIV Result from Screening,"neg, Negative | pos, Positive | indet, Indeterminate",,,,,,[hiv_prior]='CH00002' or [hiv_prior]='CH00003',y,,,,,,1
mits_type,consent_tracking,CONSENT TYPE,radio,Indicate type of MITS:,"CH00050, Full MITS | 2, Lung Only",,,,,,[elig_mits_consent]='CH00001',,,,,,,1
elig_staff_name,consent_tracking,CHAMPS Screener Information,text,CHAMPS screener full name,,,,,,y,,y,,,,,,1
elig_staff_phone,consent_tracking,CHAMPS Screener Information,text,Phone number of CHAMPS screener,,,number,1,20,y,,y,,,,,,1
elig_staff_notes,consent_tracking,CHAMPS Screener Information,notes,CHAMPS staff notes:,,,,,,,,,LH,,,,[elig_staff_notes] ; Version 0.0.0,1
