"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
spec_oth_type_ch00280_3,clinical_lab_results,,text,"Specify specimen type",,,,,,,[specimen_type_ch00280_3]='CH01263',y,,,,,
id_ch00280_3,clinical_lab_results,,text,"Specimen ID",,,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180'",y,,,,,[specimen_id]
method_ch00280_3,clinical_lab_results,,dropdown,"Testing method","CH00124, Analysis using real time polymerase chain reaction technique (RT PCR) | CH00119, Culture | CH00117, Enzyme-linked immunosorbent assay (ELISA) | CH00118, Gram stain | CH00122, Grocott methenamine silver (GMS) stain | CH00121, Hematoxylin and eosin (HE) stain | CH00120, Malaria Smear | CH00123, Ziehl-Neelsen stain | CH01264, Other testing method",,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180'",,,,,,[testing_method]
method_oth_ch00280_3,clinical_lab_results,,text,"Specify testing method",,,,,,,[method_ch00280_3]='CH01264',,,,,,
instrument_ch00280_3,clinical_lab_results,,dropdown,"Testing instrument","CH00130, GeneXpert | CH00131, LifeTech  ViiA 7 Real Time PCR System | CH00132, LifeTech QS7 Real Time PCR System | CH00133, BD BACTEC | CH00143, BioMerieux BacT/ALERT | CH00151, Abbott m2000 | CH00152, Roche COBAS TaqMan Analyzer/COBAS TaqMan 48 Analyzer | CH00126, Roche Amplicor Monitor | CH00127, BioMerieux NucliSens easyQ | CH00128, Versant kPCR | CH00129, Other instrument",,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180'",,,,,,"[testing_instrument] "
facility_ch00280_3,clinical_lab_results,,text,"Testing facility",,,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180'",,,,,,"[testing_facility] "
comment_ch00280_3,clinical_lab_results,,notes,Comments,,,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180'",,,,,,"[comment] "
another_ch00280_3,clinical_lab_results,,radio,"Do you have another test to enter? ","CH00001, Yes | CH00002, No",,,,,,"[result_ch00280_3]='CH00215' or [result_ch00280_3]='CH00216' or [result_ch00280_3]='CH00210' or [result_ch00280_3]='CH00204' or [result_ch00280_3]='CH00180' or [result_ch00280_3]='CH00206' ",,RH,,,,
test_code_ch00280_4,clinical_lab_results,"Auxiliary Test #4",radio,"Confirm test for which you are entering results","CH01836, Auxiliary Test 4",,,,,,[another_ch00280_3]='CH00001',y,RH,,,,
desc_ch00280_4,clinical_lab_results,,notes,"Please describe the test that was performed",,,,,,,[another_ch00280_3]='CH00001',y,LV,,,,[comment]
