"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
champs_id,disposition_of_body_form,,text,"CHAMPS ID",,,,,,,,,,,,,
vr_numb,disposition_of_body_form,,text,"Form Version",,,,,,,,,,,,," @HIDDEN @DEFAULT = ""4.3.0"""
disp_givennames,disposition_of_body_form,,text,"Given name(s) of deceased",,"if available",,,,y,,,,,,,
disp_surname,disposition_of_body_form,,text,"Surname of deceased",,,,,,y,,,,,,,
disp_transportneeded,disposition_of_body_form,"Deceased Body Return Details",radio,"Does the body need to be released for transport outside facility following MITS procedure to another entity (e.g. undertaker, family home)?","CH00001, Yes | CH00002, No",,,,,,,,RH,,,,
disp_body_loc,disposition_of_body_form,,notes,"Location where body should be delivered following MITS procedure",,"If outside facility, please provide exact address or location name.",,,,,,,,,,,
disp_notes,disposition_of_body_form,,notes,"Notes (including any details regarding how the body should be returned):",,,,,,,,,,,,,
disp_body_date,disposition_of_body_form,"Initial Release of Body from Family/Morgue/Hospital Ward",text,"Date body released to CHAMPS team for MITS procedure",,DD/MM/YYYY,date_dmy,,,,,y,,,,,disp_body_date
disp_body_time,disposition_of_body_form,,text,"Time of release of body",,"24 hour",time,,,,,y,,,,,disp_body_time
disp_bodyreceipt1,disposition_of_body_form,,text,"Name of individual to whom the body was released",,"Surname,          Given Name(s) ",,,,y,,,,,,,
disp_transport_time,disposition_of_body_form,"Release and Transfer of Body Following MITS Specimen Collection",text,"Time body taken (following MITS) for release to family or other designated entity as determined above",,"24 hour",time,,,,,y,,,,,disp_transport_time
disp_deliver_date,disposition_of_body_form,,text,"Date delivered to family or designated entity ",,DD/MM/YYYY,date_dmy,,,,,y,,,,,disp_deliver_date
disp_deliver_time,disposition_of_body_form,,text,"Time body delivered to family or designated entity ",,"24 hour",time,,,,,y,,,,,disp_deliver_time
disp_release_first_name,disposition_of_body_form,,text,"Name of individual delivering body to family or designated entity ",,"Surname,          Given Name   ",,,,y,,,,,,,
disp_finalsig,disposition_of_body_form,,text,"Signature of individual delivering body to family or designated entity ",,,,,,y,,,,,,,
disp_famireceiptname,disposition_of_body_form,,text,"Name of individual who received the body",,"Surname,          Given Name",,,,y,,,,,,,
disp_comments,disposition_of_body_form,"Final Comments on Body Disposition Process",notes,"Comments on transport or return of body",,"(e.g. notable events, issues, concerns)",,,,,,,,,,,
lung_instruct,lung_only_mits,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">COMPLETE THIS FORM FOR CASES <span style=""color: #e03e2d;"">CONSENTED FOR LUNG SPECIMEN COLLECTION ONLY</span>.</p> <p style=""text-align: center;""><span style=""text-decoration: underline;"">NO OTHER FORMS IN THIS PROJECT NEED TO BE COMPLETED</span> FOR LUNG SPECIMEN COLLECTION ONLY CASES.</p></div>",,,,,,,,,,,,,
date_lg,lung_only_mits,,text,"Date of death",,DD/MM/YYYY,,,,,,,,,,,
mits_dod_dt_lg,lung_only_mits,"General Patient Information",text,"Date of death",,DD/MM/YYYY,date_dmy,,,,,,,,,,
mits_rcvd_time_lg,lung_only_mits,,text,"Time body was received for specimen collection",,"24 hour",time,,,,,,,,,,
mits_rcvd_dt_lg,lung_only_mits,,text,"Date body was received for specimen collection",,DD/MM/YYYY,date_dmy,,,,,,,,,,
mits_performed_lg,lung_only_mits,,radio,"Were there any circumstances that prevented the MITS from being performed?","CH00001, Yes | CH00002, No",,,,,,,,RH,,,,
mits_nocircum_lg,lung_only_mits,,notes,"If yes, then explain circumstances",,,,,,,"[mits_performed_lg] = ""CH00001""",y,,,,,
mits_start_time_lg,lung_only_mits,"MITS Procedure",text,"Time MITS procedure initiated",,"24 hour",time,,,,,,,,,,
mits_start_dt_lg,lung_only_mits,,text,"Date of MITS procedure",,DD/MM/YYYY,date_dmy,,,,,,,,,,
champs_kit_id_lg,lung_only_mits,,text,"CHAMPS <u>KIT ID</u>",,,,,,,,,,,,,
mits_location_lg,lung_only_mits,,dropdown,"Location MITS procedure performed","CH00922, Hospital Distrital da Manhica | CH02858, Hospital Central de Quelimane | CH03863, Maputo Central Hospital | CH01303, Chris Hani Baragwanth Hospital | CH03862, Charlotte Maxeke Johannesburg Academic Hospital | CH01518, Faridpur Medical College Hospital | CH01524, Baliakandi Upazila Health Complex | CH01516, Dr. Zahed Memorial pediatric hospital | CH001897, Aga Khan Hospital | CH01666, Siaya County Referral Hospital (SCRH) | CH01633, Kisumu County Referral Hospital (KCRH) | CH01632, JOOTRH | CH02160, Makeni Regional Hospital (MRH) | CH02739, Bo Government Hospital (BGH) | CH01857, Other Health Facility",,,,,,,y,,,,,
mits_location_desc_lg,lung_only_mits,,text,"If other health facility, please specify",,,,,,,"[mits_location_lg] = 'CH01857'",,,,,,
mits_trauma_lg,lung_only_mits,"Trauma Evidence",radio,"Was there any evidence of trauma (bruises, lacerations, cuts/wounds/abrasions, burns, fractures, external bleeding)?","CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,,,RH,,,,
mits_traumadesc_lg,lung_only_mits,,notes,"If Yes, please describe evidence and type of trauma",,"Make sure to indicate type of trauma if describing more than one from examples above.",,,,,"[mits_trauma_lg] = ""CH00001""",,,,,,
ch00808_ch00807_lg,lung_only_mits,"Measurements and Sex",text,"Weight (estimated)",,kg,number,1,,,,,,,,,"from the field variable, the first coded value is the measurement, weight, and the second is the unit of measure, kg"
ch00809_ch00113_lg,lung_only_mits,,text,"Height or length",,cm,number,1,,,,,,,,,"the first coded value in the variable is the measurement and the second is the unit of measure."
ch00810_ch00113_lg,lung_only_mits,,text,"Mid-upper right arm circumference (MUAC)",,cm,number,15,35,,,,,,,,"the first coded value in the variable is the measurement and the second is the unit of measure."
mits_sex_lg,lung_only_mits,,radio,Sex,"CH00030, Male | CH00031, Female | CH00032, Indeterminate | CH00033, Sex unknown",,,,,,,,,,,,
mits_distab_lg,lung_only_mits,"Physical Findings ",radio,"Distended abdomen","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_ret_hem_lg,lung_only_mits,,radio,"Retinal hemorrhages","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_ulcer_lg,lung_only_mits,,radio,"Oral Ulcers","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_thrush_lg,lung_only_mits,,radio,Thrush,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_oro_other_lg,lung_only_mits,,radio,"Other oropharynx abnormalities","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_oro_other_spec_lg,lung_only_mits,,text,"Specify other oropharynx abnormalities",,,,,,,[mits_oro_other_lg]='CH00001',,RH,,,,
mits_peridontal_lg,lung_only_mits,,radio,"Peridontal disease","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00814_ch00817_lg,lung_only_mits,,radio,"Gross facial abnormalities","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,"first coded value in the variable name is the findings class, and then the finding coded value."
ch00814_ch00818_lg,lung_only_mits,,radio,"Umbilicus abnormal","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00815_ch00820_lg,lung_only_mits,,radio,Hepatomegaly,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00815_ch00821_lg,lung_only_mits,,radio,"Enlarged lymph nodes ","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00815_ch00821_loc_lg,lung_only_mits,,text,"Location of lymph nodes (if enlarged)",,,,,,,"[ch00815_ch00821_lg] = 'CH00001'",,,,,,
ch00814_ch00819_lg,lung_only_mits,,radio,"Other significant gross findings?","CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,,,RH,,,,"the first coded value in the variable is the finding class, the second value is the finding type"
mits_gross_sig_desc_lg,lung_only_mits,,notes,"If Yes, describe other significant gross finding(s)",,,,,,,"[ch00814_ch00819_lg]=""CH00001""",,,,,,
ch00816_ch00822_lg,lung_only_mits,,radio,Jaundice/icterus,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,"the first coded value in the variable name is the finding class and the second is the finding type"
ch00816_ch00822_loc_lg,lung_only_mits,,text,"Location of the jaundice or icterus:",,,,,,,"[ch00816_ch00822_lg]=""CH00001""",,,,,,
ch00816_ch00822_desc_lg,lung_only_mits,,notes,"Describe jaundice/icterus:",,,,,,,[ch00816_ch00822_lg]='CH00001',,RH,,,,
ch00816_ch00823_lg,lung_only_mits,,radio,Petechiae,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,"the first coded value in the variable name is the finding class and the second is the finding type"
ch00816_ch00823_loc_lg,lung_only_mits,,text,"Location of the petechiae",,,,,,,"[ch00816_ch00823_lg] = 'CH00001'",,,,,,
ch00816_ch00823_desc_lg,lung_only_mits,,notes,"Describe petechiae:",,,,,,,[ch00816_ch00823_lg]='CH00001',,RH,,,,
ch00816_ch00824_lg,lung_only_mits,,radio,Rashes,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,"the first coded value in the variable name is the finding class and the second is the finding type"
ch00816_ch00824_loc_lg,lung_only_mits,,text,"Location of the rash",,,,,,,"[ch00816_ch00824_lg] =""CH00001""",,,,,,
ch00816_ch00824_desc_lg,lung_only_mits,,notes,"Describe rashes:",,,,,,,[ch00816_ch00824_lg]='CH00001',,RH,,,,
ch00816_ch03868_lg,lung_only_mits,,radio,"Scale and/or erythema","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00816_ch03868_desc_lg,lung_only_mits,,notes,"Describe scale and/or erythema:",,,,,,,[ch00816_ch03868_lg]='CH00001',,RH,,,,
ch00816_ch03869_lg,lung_only_mits,,radio,Hypopigmentation,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00816_ch03869_desc_lg,lung_only_mits,,notes,"Describe Hypopigmentation:",,,,,,,[ch00816_ch03869_lg]='CH00001',,RH,,,,
ch00816_ch03870_lg,lung_only_mits,,radio,Hyperpigmentation,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
ch00816_ch03870_desc_lg,lung_only_mits,,notes,"Describe Hyperpigmentation:",,,,,,,[ch00816_ch03870_lg]='CH00001',,RH,,,,
ch00816_ch00825_lg,lung_only_mits,,radio,"Other abnormalities","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,"the first coded value in the variable name is the finding class and the second is the finding type"
ch00816_ch00825_loc_lg,lung_only_mits,,text,"Describe location of other skin abnormality",,,,,,,"[ch00816_ch00825_lg]=""CH00001""",,,,,,
ch00816_ch00825_note_lg,lung_only_mits,,text,"If other skin abnormalities, please describe:",,,,,,,"[ch00816_ch00825_lg]=""CH00001""",,,,,,
ch00816_ch00827_lg,lung_only_mits,"Blood from one of following:",radio,Mouth,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,,,blood_locations_lg,,"The first coded value is the class of findings and the second coded value is the finding type"
ch00816_ch00828_lg,lung_only_mits,,radio,Ears,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,,,blood_locations_lg,,"The first coded value is the class of findings and the second coded value is the finding type"
ch00816_ch00829_lg,lung_only_mits,,radio,Nose,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,,,blood_locations_lg,,"The first coded value is the class of findings and the second coded value is the finding type"
ch00816_ch00830_lg,lung_only_mits,,radio,Rectum,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,,,blood_locations_lg,,"The first coded value is the class of findings and the second coded value is the finding type"
ch00839_ch00831_lg,lung_only_mits,"MITS Photography",radio,Front,"CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00832_lg,lung_only_mits,,radio,Back,"CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00833_lg,lung_only_mits,,radio,Side,"CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00834_lg,lung_only_mits,,radio,Nails,"CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00612_lg,lung_only_mits,,radio,"Placenta: Maternal side","CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00613_lg,lung_only_mits,,radio,"Placenta: Fetal side","CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00614_lg,lung_only_mits,,radio,"Placenta: Section","CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00838_lg,lung_only_mits,,radio,"Additional photos","CH00001, Yes | CH00002, No | CH00003, Unknown | CH00004, Not Applicable",,,,,,,,,,photo_locations_lg,,"in the variable the first coded value is the photo class and the second is the photo type"
ch00839_ch00838_note_lg,lung_only_mits,,text,"If Yes, please specify",,,,,,,"[ch00839_ch00838_lg]=""CH00001""",,,,,,
mits_photo_why_lg,lung_only_mits,,notes,"Explain why photograph(s) were not obtained",,,,,,,"[ch00839_ch00831_lg] = 'CH00002' or [ch00839_ch00832_lg] = 'CH00002' or [ch00839_ch00833_lg] = 'CH00002' or [ch00839_ch00834_lg] = 'CH00002' or [ch00839_ch00612_lg]=""CH00002"" or [ch00839_ch00613_lg] = 'CH00002' or [ch00839_ch00614_lg]= 'CH00002'",,,,,,"if any photos not taken, ch00831 through ch00837 are ""no"" then populate the response in this field into the notes column for the photo type."
ch00839_ch00831_face_lg,lung_only_mits,,radio,"Is the face in full view in the frontal picture?","CH00001, Yes | CH00002, No",,,,,,"[ch00839_ch00831] = 'CH00001'",,RH,,,,
ch00841_ch00083_lg,lung_only_mits,"Lung Specimen Collection",radio,"Lung biopsy","CH00001, Yes | CH00002, No",,,,,,,y,RH,,,,"first coded value is the specimen class, second coded value is the specimen type"
ch00841_ch00083_nc_lg,lung_only_mits,,text,"Reason lung biopsy not collected",,,,,,,"[ch00841_ch00083_lg]= 'CH00002'",y,,,,,
mits_time_complete_lg,lung_only_mits,"Personnel performing MITS",text,"Time MITS procedure completed",,"24 hour",time,,,,,,,,,,
mits_tech_lg,lung_only_mits,,text,"Name of primary technician",,,,,,,,,,,,,
mits_tech_asst_lg,lung_only_mits,,notes,"Name/s of all assistant/s present for specimen collection",,"Separate names with a semi-colon",,,,,,,,,,,
mits_tech_time_sign_lg,lung_only_mits,,text,Time,,"24 hour",time,,,,,,,,,," @HIDDEN"
mits_tech_date_sign_lg,lung_only_mits,,text,Date,,DD/MM/YYYY,date_dmy,,,,,,,,,,
mits_tech_comments_lg,lung_only_mits,,notes,"Comments on procedure (optional)",,,,,,,,,,,,,
d_l_ch00278_lg,lung_only_mits,"Mycobacterium TB complex DNA presence in specimen by PCR",descriptive,<center><u>LUNG</ur></b>,,,,,,,,,,,,,
test_code_l_ch00278_lg,lung_only_mits,,radio,"Confirm test for which you are entering results","CH00278, LUNG M TB Cmplx DNA QI PCR",,,,,,,y,RH,,,,[testing_code}
result_l_ch00278_lg,lung_only_mits,,radio,"Test result","CH00210, Positive | CH00180, Negative | CH00204, Indeterminate | CH00206, Not tested | CH03201, Result pending",,,,,,,y,,,,,[result_codedvalue]
contype_l_ch00278_lg,lung_only_mits,,checkbox,"Specimen Condition","CH00225, Received in appropriate conditions and timeframe | CH00226, Received MORE THAN 12 hours after collection | CH00227, Problem with tube labeling | CH00228, Container leaking | CH00229, Wrong type of tube or container | CH00230, Inappropriate temperature | CH00231, Other condition","check all that apply",,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204' or [result_l_ch00278_lg] = 'CH03201'",,,,,,"[specimen_condition] ."
conother_l_ch00278_lg,lung_only_mits,,text,"Please explain",,,,,,,"[contype_l_ch00278_lg(CH00231)] = '1'",,,,,,"[comments] associated with test  [test_code_l_38379_4] ."
not_done_l_ch00278_lg,lung_only_mits,,radio,"Reason not tested","CH00218, Sample not received or lost | CH00219, Sample mix-up or aliquotting or labeling error | CH00220, Sample not handled or processed correctly | CH00221, Wrong test ordered | CH00222, No or Incomplete test run (reagent or instrument or method problem) | CH00223, Invalid test run (QC failure) | CH00217, Sample quantity not sufficient | CH00224, Other reason",,,,,,"[result_l_ch00278_lg] = 'CH00206'",,,,,,[reason_nottested]
reason_l_ch00278_lg,lung_only_mits,,notes,"Please explain",,,,,,,"[not_done_l_ch00278_lg] = 'CH00224'",,,,,,"[comment] "
t_dt_l_ch00278_lg,lung_only_mits,,text,"Date of test",,,date_dmy,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",y,RH,,,,[testing_date]
r_dt_l_ch00278_lg,lung_only_mits,,text,"Date final result determined",,,date_dmy,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",y,RH,,,,[result_date]
specimen_type_l_ch00278_lg,lung_only_mits,,radio,"Specimen type","CH00089, Lung",,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",y,,,,,[specimen_type]
id_l_ch00278_lg,lung_only_mits,,text,"Specimen ID",,,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",y,,,,,[specimen_id]
method_l_ch00278_lg,lung_only_mits,,radio,"Testing method","CH00124, Analysis using real time polymerase chain reaction technique (RT PCR)",,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",,,,,,"[testing_method] "
instrument_l_ch00278_lg,lung_only_mits,,radio,"Testing instrument","CH00130, GeneXpert",,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",,,,,,"[testing_instrument] "
facility_l_ch00278_lg,lung_only_mits,,text,"Testing facility",,,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",,,,,,"[testing_facility] "
comment_l_ch00278_lg,lung_only_mits,,notes,Comments,,,,,,,"[result_l_ch00278_lg] = 'CH00210' or [result_l_ch00278_lg] = 'CH00180' or [result_l_ch00278_lg] = 'CH00204'",,,,,,[comment]
d_l_ch00279_lg,lung_only_mits,"Mycobacterium TB rifampin resistance (rpoB) gene presence in specimen by PCR",descriptive,<center><u>LUNG</u></b>,,,,,,,,,,,,,
test_code_l_ch00279_lg,lung_only_mits,,radio,"Confirm test for which you are entering results","CH00279, LUNG M TB rpoB QI PCR",,,,,,,y,RH,,,,[testing_code}
result_l_ch00279_lg,lung_only_mits,,radio,"Test result","CH00210, Positive (Detected) | CH00180, Negative (Not Detected) | CH00204, Indeterminate | CH00206, Not tested | CH03201, Result pending",,,,,,,y,,,,,[result_codedvalue]
contype_l_ch00279_lg,lung_only_mits,,checkbox,"Specimen Condition","CH00225, Received in appropriate conditions and timeframe | CH00226, Received MORE THAN 12 hours after collection | CH00227, Problem with tube labeling | CH00228, Container leaking | CH00229, Wrong type of tube or container | CH00230, Inappropriate temperature | CH00231, Other condition","check all that apply",,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204' or [result_l_ch00279_lg] = 'CH03201'",,,,,,"[specimen_condition] ."
conother_l_ch00279_lg,lung_only_mits,,text,"Please explain",,,,,,,"[contype_l_ch00279_lg(CH00231)] = '1'",,,,,,"[comments] associated with test  [test_code_l_48176_2] ."
not_done_l_ch00279_lg,lung_only_mits,,radio,"Reason not tested","CH00218, Sample not received or lost | CH00219, Sample mix-up or aliquotting or labeling error | CH00220, Sample not handled or processed correctly | CH00221, Wrong test ordered | CH00222, No or Incomplete test run (reagent or instrument or method problem) | CH00223, Invalid test run (QC failure) | CH00217, Sample quantity not sufficient | CH00224, Other reason | CH00004, Not applicable",,,,,,"[result_l_ch00279_lg] = 'CH00206'",,,,,,[reason_nottested]
reason_l_ch00279_lg,lung_only_mits,,notes,"Please explain",,,,,,,"[not_done_l_ch00279_lg] = 'CH00224'",,,,,,"[comment] "
t_dt_l_ch00279_lg,lung_only_mits,,text,"Date of test",,,date_dmy,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",y,RH,,,,[testing_date]
r_dt_l_ch00279_lg,lung_only_mits,,text,"Date final result determined",,,date_dmy,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",y,RH,,,,[result_date]
specimen_type_l_ch00279_lg,lung_only_mits,,radio,"Specimen type","CH00089, Lung",,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",y,,,,,[specimen_type]
id_l_ch00279_lg,lung_only_mits,,text,"Specimen ID",,,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",y,,,,,[specimen_id]
method_l_ch00279_lg,lung_only_mits,,radio,"Testing method","CH00124, Analysis using real time polymerase chain reaction technique (RT PCR)",,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",,,,,,"[testing_method] "
instrument_l_ch00279_lg,lung_only_mits,,radio,"Testing instrument","CH00130, GeneXpert",,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",,,,,,"[testing_instrument] "
facility_l_ch00279_lg,lung_only_mits,,text,"Testing facility",,,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",,,,,,"[testing_facility] "
comments_l_ch00279_lg,lung_only_mits,,notes,Comments,,,,,,,"[result_l_ch00279_lg] = 'CH00210' or [result_l_ch00279_lg] = 'CH00180' or [result_l_ch00279_lg] = 'CH00204'",,,,,,"[comment] "
mits_dod_dt,mits_specimen_collection_form,"General Patient Information",text,"Date of death",,DD/MM/YYYY,date_dmy,,,,,,,,,,
mits_rcvd_time,mits_specimen_collection_form,,text,"Time body was received for specimen collection",,"24 hour",time,,,,,,,,,,
mits_rcvd_dt,mits_specimen_collection_form,,text,"Date body was received for specimen collection",,DD/MM/YYYY,date_dmy,,,,,,,,,,
mits_performed,mits_specimen_collection_form,,radio,"Were there any circumstances that prevented the MITS from being performed?","CH00001, Yes | CH00002, No",,,,,,,,RH,,,,
mits_nocircum,mits_specimen_collection_form,,notes,"If yes, then explain circumstances",,,,,,,"[mits_performed] = ""CH00001""",y,,,,,
mits_start_time,mits_specimen_collection_form,"MITS Procedure",text,"Time MITS procedure initiated",,"24 hour",time,,,,,,,,,,
mits_start_dt,mits_specimen_collection_form,,text,"Date of MITS procedure",,DD/MM/YYYY,date_dmy,,,,,,,,,,
champs_kit_id,mits_specimen_collection_form,,text,"CHAMPS <u>KIT ID</u>",,,,,,,,,,,,,
mits_location,mits_specimen_collection_form,,dropdown,"Location MITS procedure performed","CH00922, Hospital Distrital da Manhica | CH02858, Hospital Central de Quelimane | CH03863, Maputo Central Hospital | CH01303, Chris Hani Baragwanth Hospital | CH03862, Charlotte Maxeke Johannesburg Academic Hospital | CH01518, Faridpur Medical College Hospital | CH01524, Baliakandi Upazila Health Complex | CH01516, Dr. Zahed Memorial pediatric hospital | CH001897, Aga Khan Hospital | CH01666, Siaya County Referral Hospital (SCRH) | CH01633, Kisumu County Referral Hospital (KCRH) | CH01632, JOOTRH | CH02160, Makeni Regional Hospital (MRH) | CH02739, Bo Government Hospital (BGH) | CH01857, Other Health Facility",,,,,,,y,,,,,
mits_location_desc,mits_specimen_collection_form,,text,"If other health facility, please specify",,,,,,,"[mits_location] = 'CH01857'",,,,,,
mits_trauma,mits_specimen_collection_form,"Trauma Evidence",radio,"Was there any evidence of trauma (bruises, lacerations, cuts/wounds/abrasions, burns, fractures, external bleeding)?","CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,,,RH,,,,
mits_traumadesc,mits_specimen_collection_form,,notes,"If Yes, please describe evidence and type of trauma",,"Make sure to indicate type of trauma if describing more than one from examples above.",,,,,"[mits_trauma] = ""CH00001""",,,,,,
ch00808_ch00807,mits_specimen_collection_form,"Measurements and Sex",text,"Weight (estimated)",,kg,number,1,,,,,,,,,"from the field variable, the first coded value is the measurement, weight, and the second is the unit of measure, kg"
ch00809_ch00113,mits_specimen_collection_form,,text,"Height or length",,cm,number,1,,,,,,,,,"the first coded value in the variable is the measurement and the second is the unit of measure."
ch00810_ch00113,mits_specimen_collection_form,,text,"Mid-upper right arm circumference (MUAC)",,cm,number,15,35,,,,,,,,"the first coded value in the variable is the measurement and the second is the unit of measure."
mits_sex,mits_specimen_collection_form,,radio,Sex,"CH00030, Male | CH00031, Female | CH00032, Indeterminate | CH00033, Sex unknown",,,,,,,,,,,,
mits_distab,mits_specimen_collection_form,"Physical Findings ",radio,"Distended abdomen","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_ret_hem,mits_specimen_collection_form,,radio,"Retinal hemorrhages","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_ulcer,mits_specimen_collection_form,,radio,"Oral Ulcers","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_thrush,mits_specimen_collection_form,,radio,Thrush,"CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_oro_other,mits_specimen_collection_form,,radio,"Other oropharynx abnormalities","CH00001, Yes | CH00002, No | CH00576, No Exam | CH00003, Unknown",,,,,,,,RH,,,,
mits_oro_other_spec,mits_specimen_collection_form,,text,"Specify other oropharynx abnormalities",,,,,,,[mits_oro_other]='CH00001',,RH,,,,
